HC24I,0.43,1.27,1.27,2.59,3.26,4.35,5.4,5.55,6.29,7.36,8.07,8.3,8.55,9.55,10.47,11.4,12.22,17.05,17.07,19.21,19.54,20.29,21.01,21.45,22.09,23.14,23.14,26.14
HC25I,0.2,0.36,0.5,1.31,1.41,2.29,2.58,3.11,4.1,5.51,6.2,6.28,6.51,7.07,7.35,8.28,9.03,12.51,13.28,14.57,15.23,15.41,16.43,16.56,15.56,16.43,17.26,19.16
HC26I,0.12,0.43,1.02,1.19,1.48,2.19,3.28,3.39,4.18,5.11,5.44,6.09,7.28,8.07,8.49,9.29,10.57,13.12,14.13,15.29,15.58,16.24,16.52,17.15,18.25,18.51,18.51,19.53
HC27I,0.54,1.19,1.29,2.31,2.49,3.48,4.24,4.36,5.3,6.5,7.17,7.24,7.58,8.34,9.26,10.08,10.54,14.28,15.19,17.26,17.51,18.17,18.4,18.53,19.26,19.44,19.44,22
HC28I,0.31,0.5,1.44,2.04,2.32,3.2,4.12,4.28,4.56,6.17,7.36,7.44,8.19,8.53,9.2,9.41,10.25,13.21,14,15.18,15.52,16.13,16.4,16.48,16.48,17.17,17.28,19.59
HC29I,0.28,1.09,1.09,2.03,2.1,3.23,5.02,5.15,5.49,7.53,8.1,8.58,9.32,10.16,10.35,11.1,11.46,14.37,15.33,16.58,17.53,18.18,18.39,18.57,19.18,19.51,19.54,21.48
HC30I,0.33,1.1,1.23,1.4,2.03,3.15,4.05,4.11,4.56,6.11,6.42,7.03,7.35,8.27,9.07,9.51,10.42,12.46,13.5,14.54,15.13,15.41,15.57,16.08,16.28,16.52,16.52,17.37
HC31I,0.15,0.28,0.32,0.43,1.13,2.22,2.52,3,3.5,4.37,5.07,5.16,5.51,6.26,6.43,7.21,7.5,9.45,10.4,11.27,12,12.18,12.38,12.5,12.51,13.02,13.16,14.2
HC32I,0.24,0.29,0.34,0.57,1.31,2.07,3,3.07,3.26,4.25,4.57,5.02,5.34,5.56,6.38,6.54,7.3,12.25,13.24,14.25,14.53,15.09,15.55,16.06,16.07,16.43,17.07,18.25
HC33I,0.22,0.4,0.53,1.34,1.48,2.21,3.1,3.18,4.03,5.04,5.55,6.03,6.41,7.08,7.36,8.37,9.12,13.14,13.55,15.2,15.44,15.56,16.16,16.23,16.5,17.06,17.07,19.36
