Values,Metric,Pose,Group
0.8104839975533995,Distance,Muscles,CP AH
0.7161708754931919,Angle,Muscles,CP AH
0.9290641253508242,Distance,Muscles,CP AH
0.8914291009555652,Angle,Muscles,CP AH
0.81239522670095,Distance,Muscles,CP AH
0.8361116140915977,Angle,Muscles,CP AH
0.5565606124324444,Distance,Muscles,CP AH
0.5109567616308192,Angle,Muscles,CP AH
0.7947378756618175,Distance,Muscles,CP AH
0.8266986292254588,Angle,Muscles,CP AH
0.7097148380375512,Distance,Muscles,CP AH
0.6782347453833819,Angle,Muscles,CP AH
0.8668843183176017,Distance,Muscles,CP AH
0.7441560063924775,Angle,Muscles,CP AH
0.8632462804965723,Distance,Muscles,CP AH
0.9592694928456154,Angle,Muscles,CP AH
0.9220692840748946,Distance,Muscles,CP AH
0.8615707242021288,Angle,Muscles,CP AH
0.905823762078759,Distance,Muscles,CP AH
0.9024670673766216,Angle,Muscles,CP AH
0.6386985182417202,Distance,Muscles,CP AH
0.5379014338788052,Angle,Muscles,CP AH
0.8535297653906955,Distance,Muscles,CP AH
0.9410301324584109,Angle,Muscles,CP AH
0.955220545177298,Distance,Muscles,CP AH
0.913266221675626,Angle,Muscles,CP AH
0.7753493436998258,Distance,Muscles,CP AH
0.5986061409897259,Angle,Muscles,CP AH
0.8946448165611762,Distance,Muscles,CP AH
0.6040452836410142,Angle,Muscles,CP AH
0.9879115077463068,Distance,Muscles,CP AH
0.9885429457119925,Angle,Muscles,CP AH
0.9003660705964847,Distance,PowerBars,CP AH
0.9474314600278643,Angle,PowerBars,CP AH
0.8507312145937176,Distance,PowerBars,CP AH
0.7385426977912399,Angle,PowerBars,CP AH
0.884612755658148,Distance,PowerBars,CP AH
0.9023717268495774,Angle,PowerBars,CP AH
0.6954121578444532,Distance,PowerBars,CP AH
0.49366243036736457,Angle,PowerBars,CP AH
0.7967931503056929,Distance,PowerBars,CP AH
0.7335601830622069,Angle,PowerBars,CP AH
0.8450619744834109,Distance,PowerBars,CP AH
0.7172888336609208,Angle,PowerBars,CP AH
0.8497034353258661,Distance,PowerBars,CP AH
0.7362612805827935,Angle,PowerBars,CP AH
0.8065307502753516,Distance,PowerBars,CP AH
0.8904730745648017,Angle,PowerBars,CP AH
0.8503475515347613,Distance,PowerBars,CP AH
0.8262344383453671,Angle,PowerBars,CP AH
0.9162826569883358,Distance,PowerBars,CP AH
0.800042752290736,Angle,PowerBars,CP AH
0.810105628448655,Distance,PowerBars,CP AH
0.7522173007861965,Angle,PowerBars,CP AH
0.9000050488819333,Distance,PowerBars,CP AH
0.9202216586444971,Angle,PowerBars,CP AH
0.8976782594200405,Distance,PowerBars,CP AH
0.8742919088378422,Angle,PowerBars,CP AH
0.8540263727472408,Distance,PowerBars,CP AH
0.8511917077056453,Angle,PowerBars,CP AH
0.914157948687464,Distance,PowerBars,CP AH
0.8321399615393126,Angle,PowerBars,CP AH
0.9797247120454399,Distance,PowerBars,CP AH
0.96166514946448,Angle,PowerBars,CP AH
0.8313352436706004,Distance,Muscles,CP LA
0.7430694479632074,Angle,Muscles,CP LA
0.7908944785644352,Distance,Muscles,CP LA
0.7029863453132107,Angle,Muscles,CP LA
0.7867752877370274,Distance,Muscles,CP LA
