Values,Metric,Pose,Group
0.8035029599374484,Distance,Muscles,CP AH
0.7067822822219474,Angle,Muscles,CP AH
0.7897493802667341,Orientation,Muscles,CP AH
0.9289367824884023,Distance,Muscles,CP AH
0.8998035707285135,Angle,Muscles,CP AH
0.8590442047176141,Orientation,Muscles,CP AH
0.8135562578088686,Distance,Muscles,CP AH
0.8266124315053932,Angle,Muscles,CP AH
0.8033203683399102,Orientation,Muscles,CP AH
0.5478234130655599,Distance,Muscles,CP AH
0.5028601874901868,Angle,Muscles,CP AH
0.7520011089619252,Orientation,Muscles,CP AH
0.764396482729484,Distance,Muscles,CP AH
0.8557140588298661,Angle,Muscles,CP AH
0.6996534144615837,Orientation,Muscles,CP AH
0.6938268679541832,Distance,Muscles,CP AH
0.690903161807159,Angle,Muscles,CP AH
0.88283142091098,Orientation,Muscles,CP AH
0.8318699194562267,Distance,Muscles,CP AH
0.748292592311428,Angle,Muscles,CP AH
0.7197398416860299,Orientation,Muscles,CP AH
0.8654257827347116,Distance,Muscles,CP AH
0.9710088691667971,Angle,Muscles,CP AH
0.9334680124804702,Orientation,Muscles,CP AH
0.8643584902308237,Distance,Muscles,CP AH
0.9192564340578362,Angle,Muscles,CP AH
0.8341330686904922,Orientation,Muscles,CP AH
0.9204540215011758,Distance,Muscles,CP AH
0.8820867332402496,Angle,Muscles,CP AH
0.8827746705022824,Orientation,Muscles,CP AH
0.6369937261961383,Distance,Muscles,CP AH
0.5282115933209606,Angle,Muscles,CP AH
0.7840348055465186,Orientation,Muscles,CP AH
0.8528442502295204,Distance,Muscles,CP AH
0.9385346706680572,Angle,Muscles,CP AH
0.9422639475467862,Orientation,Muscles,CP AH
0.9495717523160021,Distance,Muscles,CP AH
0.9147973143987933,Angle,Muscles,CP AH
0.970939757443221,Orientation,Muscles,CP AH
0.7738660152203192,Distance,Muscles,CP AH
0.5963664266944094,Angle,Muscles,CP AH
0.9401625789118078,Orientation,Muscles,CP AH
0.8862149705094049,Distance,Muscles,CP AH
0.5762644620242664,Angle,Muscles,CP AH
0.8009100089090375,Orientation,Muscles,CP AH
0.9921780961217646,Distance,Muscles,CP AH
0.9894439921978718,Angle,Muscles,CP AH
0.9088360791892928,Orientation,Muscles,CP AH
0.9012165619225022,Distance,PowerBars,CP AH
0.9555460008750718,Angle,PowerBars,CP AH
0.865581643570035,Orientation,PowerBars,CP AH
